"district","hour","educmen1","educmen2","educmen3","educmen4"
"036","9am",160.36846,1863.7915,1661.7416,1085.5282
"037","9am",459.59342,3737.6726,1664.2913,1433.1924
"038","9am",445.722,1291.4027,1412.7219,1079.0757
"039","9am",72.24364,992.6844,1176.2463,977.0533
"040","9am",895.83725,3827.7039,3571.1512,3428.9619
"041","9am",277.97033,2124.2378,1355.2288,1320.2758
"042","9am",233.66461,876.3866,850.6742,439.5365
"043","9am",1016.6022,2207.3941,2290.6715,1208.9322
"044","9am",601.01105,1859.4939,940.6279,946.3903
"045","9am",146.29998,2576.3775,696.4826,340.8135
"046","9am",245.13156,2023.9878,1044.7351,418.2471
"047","9am",299.12642,2656.6611,2677.3347,771.9989
"048","9am",635.15099,1573.8111,1297.8824,420.5122
"049","9am",248.79481,2019.9686,690.4506,421.349
"050","9am",214.61195,957.3599,485.0039,131.0238
"051","9am",133.65766,1121.2271,411.7118,393.4431
"052","9am",407.95391,1687.8993,1023.2585,763.1776
"053","9am",730.94377,1945.7809,874.7997,397.674
"054","9am",646.16345,2822.3234,1418.3279,451.8543
"055","9am",322.76236,1462.366,1094.9677,428.9007
"056","9am",596.73302,3052.1887,2223.5048,741.5493
"057","9am",84.27223,1082.8984,789.3854,787.1967
"058","9am",527.44254,2930.0599,478.5823,214.3701
"059","9am",1529.03899,6238.9423,2503.437,603.7572
"060","9am",1511.99792,3489.3275,1940.0242,458.0507
"061","9am",1070.85755,3463.3273,1363.9982,564.8816
"062","9am",177.48047,2678.848,1642.5194,830.55
"063","9am",85.25128,841.6806,724.3029,358.3254
"064","9am",521.48158,2246.0734,1292.7831,524.3898
"065","9am",655.98222,3216.957,1590.3344,805.7157
"066","9am",448.77509,2665.7832,1059.9618,1004.5996
"067","9am",1201.25537,3946.3193,1649.8873,343.4744
"068","9am",746.19483,3496.5466,2115.4631,359.3707
"069","9am",501.76759,1570.798,734.1529,416.7337
"070","9am",1082.31068,5609.3846,2659.7563,690.05
"071","9am",1506.8853,5724.7585,1124.2231,370.8531
"072","9am",1098.72575,3325.5399,1787.4339,492.1884
"073","9am",1411.10194,7056.0572,2851.4558,1664.0353
"074","9am",1462.72614,4412.0957,1928.3579,1321.1105
"075","9am",1359.47912,8760.8446,2799.036,1609.7785
"076","9am",1333.46999,2829.4235,850.9213,237.7572
"077","9am",1358.62924,1957.9366,1746.3565,983.1275
"078","9am",1369.35157,3931.419,3335.1052,1774.5922
"079","9am",1822.79785,4823.2611,2434.8917,1100.8005
"080","9am",1642.04697,1669.189,1720.0656,752.9457
"001","10am",410.07419,1967.3406,1985.0779,3217.2435
"002","10am",233.5258,1515.7297,2737.6146,2061.3818
"003","10am",801.10746,4556.5195,4140.9215,3553.5642
"004","10am",222.61708,1261.2161,1179.692,859.0032
"005","10am",168.18808,1430.158,1479.8029,1761.042
"006","10am",694.49624,2135.9641,2093.4556,3048.3194
"007","10am",121.58987,1351.4589,1469.7929,1346.9977
"008","10am",309.28466,558.867,657.6833,457.4723
